	MGI	MP
0	MGI:3608325	MP:0005377,MP:0003631,MP:0005384
1	MGI:1338010	MP:0005377,MP:0005382,MP:0003384,MP:0002006,MP:0005381,MP:0005388,MP:0005371,MP:0000550,MP:0001698,MP:0009025,MP:0005370,MP:0011089,MP:0005380,MP:0005157,MP:0004200,MP:0005390,MP:0010771,MP:0000024,MP:0000913,MP:0000914,MP:0000556,MP:0000018,MP:0003104,MP:0005387,MP:0005378,MP:0010768,MP:0000445,MP:0003935,MP:0003755,MP:0005379,MP:0003631
2	MGI:1858964	
3	MGI:1913363	MP:0005376
4	MGI:2681842	MP:0003631
5	MGI:2685852	
6	MGI:94925	MP:0005387,MP:0005378,MP:0005385,MP:0005375,MP:0005386,MP:0005367,MP:0005397,MP:0005376
7	MGI:1929215	MP:0005380,MP:0010768,MP:0005384
8	MGI:98610	
9	MGI:88321	MP:0005387,MP:0005397
10	MGI:95787	MP:0005386,MP:0005376,MP:0003631
11	MGI:108447	
12	MGI:97314	MP:0003631,MP:0005384
13	MGI:1924134	MP:0005386,MP:0005367,MP:0005376,MP:0010768,MP:0010771,MP:0005385,MP:0003631
14	MGI:700014	MP:0005387,MP:0005375,MP:0005376,MP:0005397
15	MGI:1920194	MP:0005391
16	MGI:105311	MP:0005397,MP:0005367,MP:0005370,MP:0005381,MP:0005387,MP:0005388
17	MGI:2387602	MP:0005389,MP:0005376,MP:0005378,MP:0005385
18	MGI:1913550	
19	MGI:101876	MP:0005382,MP:0010768,MP:0005378,MP:0005385,MP:0005369,MP:0005390,MP:0005391,MP:0005375,MP:0005380,MP:0005376,MP:0003631
20	MGI:1921571	
21	MGI:5593225	
22	MGI:3782046	
23	MGI:108092	MP:0005389,MP:0002006,MP:0005387,MP:0010768,MP:0005385,MP:0005369,MP:0005386,MP:0005379,MP:0005376,MP:0010771
24	MGI:1915172	MP:0005391,MP:0005367,MP:0005379,MP:0005380,MP:0010768,MP:0005378,MP:0003631
25	MGI:1891638	MP:0005369,MP:0005378,MP:0005376,MP:0005388,MP:0005385
26	MGI:1918483	MP:0005389,MP:0005382,MP:0005387,MP:0005381,MP:0005378,MP:0005384,MP:0005385,MP:0010768,MP:0005386,MP:0005370,MP:0005397,MP:0010771
27	MGI:1924386	MP:0005389,MP:0005385
28	MGI:1914878	MP:0005377,MP:0005382,MP:0002006,MP:0010768,MP:0005378,MP:0005381,MP:0005384,MP:0005385,MP:0005388,MP:0005390,MP:0005367,MP:0005376,MP:0003631
29	MGI:2177488	
30	MGI:109430	MP:0010771,MP:0005386,MP:0003631
31	MGI:3694550	
32	MGI:3618733	
33	MGI:106588	MP:0005386,MP:0005397,MP:0002006,MP:0005376,MP:0005387,MP:0005378,MP:0003631
34	MGI:1923144	MP:0005390,MP:0005397
35	MGI:1916712	MP:0005386,MP:0005375,MP:0010771,MP:0005376,MP:0005378,MP:0005384
36	MGI:2685460	MP:0005384,MP:0005386,MP:0005397,MP:0005387,MP:0005385
37	MGI:88015	MP:0005387,MP:0010768,MP:0005376,MP:0005397
38	MGI:1891763	MP:0005389,MP:0005387,MP:0005378,MP:0005385,MP:0005384,MP:0010768,MP:0005386,MP:0005379,MP:0005397,MP:0005376
39	MGI:1919325	
40	MGI:2443733	MP:0030451,MP:0013250,MP:0005382,MP:0002819,MP:0005378,MP:0030459,MP:0002100,MP:0030455,MP:0002818,MP:0030543,MP:0005390
41	MGI:3030206	
42	MGI:1915171	MP:0005389,MP:0005382,MP:0010771,MP:0005370,MP:0005378,MP:0005385,MP:0005371,MP:0005387,MP:0005391,MP:0010768,MP:0005379,MP:0005380,MP:0005397,MP:0003631
43	MGI:109299	
44	MGI:3033098	
45	MGI:1916593	MP:0005387,MP:0005386,MP:0005376,MP:0005397
46	MGI:98484	MP:0005387,MP:0005397
47	MGI:109266	MP:0002006,MP:0005387,MP:0005397
48	MGI:1346093	MP:0005389,MP:0005387,MP:0005378,MP:0010768,MP:0005386,MP:0005397,MP:0005380,MP:0005390,MP:0003631
49	MGI:2651568	
50	MGI:1915013	
51	MGI:106215	MP:0005391,MP:0005379,MP:0005378,MP:0005381,MP:0010768,MP:0005388,MP:0005376
52	MGI:2387653	
53	MGI:1918820	MP:0005387,MP:0005376,MP:0005388
54	MGI:1355322	MP:0005380,MP:0005389,MP:0005384
55	MGI:2384869	
56	MGI:1919020	MP:0005382,MP:0005387,MP:0005381,MP:0005378,MP:0005385,MP:0005369,MP:0010768,MP:0005386,MP:0005379,MP:0005380,MP:0005397,MP:0005390
57	MGI:1927119	
58	MGI:1917573	
59	MGI:1929996	MP:0001186,MP:0010771,MP:0005387,MP:0005378,MP:0005381,MP:0005384,MP:0005391,MP:0010768,MP:0005386,MP:0005367,MP:0005379,MP:0005380,MP:0005397,MP:0005376,MP:0003631
60	MGI:3643515	
61	MGI:2681860	MP:0005386,MP:0005376
62	MGI:3702151	
63	MGI:3030129	
64	MGI:1918836	MP:0002461,MP:0008770,MP:0008097,MP:0008721,MP:0031301,MP:0001828,MP:0005384,MP:0005367,MP:0005370,MP:0011075,MP:0010771,MP:0002493,MP:0002455,MP:0001732,MP:0001844,MP:0005378,MP:0000217,MP:0008126,MP:0004801,MP:0001246,MP:0008713,MP:0005376,MP:0004794,MP:0005425,MP:0005397,MP:0002494,MP:0004947,MP:0004762,MP:0001846,MP:0002743,MP:0005387,MP:0010768,MP:0002082,MP:0002495,MP:0000322
65	MGI:2183260	
66	MGI:2442688	
67	MGI:2442213	MP:0005389,MP:0010768,MP:0005378,MP:0005384,MP:0005385,MP:0005369,MP:0005391,MP:0005379,MP:0005397,MP:0005376
68	MGI:99912	MP:0001262,MP:0001402,MP:0000752,MP:0005382,MP:0002566,MP:0000160,MP:0009420,MP:0004121,MP:0005384,MP:0031204,MP:0005150,MP:0004510,MP:0009403,MP:0005390,MP:0000759,MP:0000751,MP:0001265,MP:0001393,MP:0011086,MP:0001732,MP:0002083,MP:0001475,MP:0001961,MP:0005378,MP:0011967,MP:0005656,MP:0005376,MP:0003631,MP:0004273,MP:0001406,MP:0005426,MP:0011090,MP:0005377,MP:0003084,MP:0000749,MP:0030798,MP:0009414,MP:0005388,MP:0000747,MP:0000069,MP:0000748,MP:0002932,MP:0005386,MP:0013239,MP:0000754,MP:0001513,MP:0005397,MP:0000921,MP:0009404,MP:0000920,MP:0000755,MP:0003008,MP:0005389,MP:0005387,MP:0010768,MP:0005369,MP:0000743,MP:0005379,MP:0031318
69	MGI:3689889	MP:0005389,MP:0002006,MP:0010768,MP:0005384,MP:0005391,MP:0005379,MP:0005397,MP:0005376
70	MGI:96960	MP:0005386,MP:0005367,MP:0005378,MP:0010768,MP:0005381,MP:0005384
71	MGI:1923880	
72	MGI:1923656	
73	MGI:3609239	MP:0005381,MP:0005378,MP:0005390,MP:0005375,MP:0005386,MP:0005370,MP:0005397,MP:0005376
74	MGI:3031334	
75	MGI:2442978	MP:0005390,MP:0005376,MP:0010771,MP:0005371
76	MGI:1916513	
77	MGI:1915115	MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0010768,MP:0005390,MP:0005397,MP:0005376
78	MGI:2387100	MP:0001186,MP:0005389,MP:0005386,MP:0005376,MP:0010771,MP:0005385
79	MGI:106368	MP:0005386,MP:0005376,MP:0010768,MP:0003631,MP:0005384
80	MGI:1347043	MP:0005389,MP:0005384
81	MGI:1919204	MP:0010768,MP:0005384
82	MGI:2443286	MP:0005387,MP:0005375,MP:0005376,MP:0005397
83	MGI:1101357	MP:0000273,MP:0005377,MP:0001186,MP:0005382,MP:0005381,MP:0005385,MP:0005397,MP:0005380,MP:0005390,MP:0010771,MP:0002633,MP:0005387,MP:0005378,MP:0010768,MP:0010418,MP:0005369,MP:0005391,MP:0000284,MP:0005379,MP:0010426,MP:0005376,MP:0003631
84	MGI:95700	MP:0005387,MP:0005378,MP:0005384,MP:0005397
85	MGI:1919104	MP:0005389,MP:0005384
86	MGI:105980	MP:0001262,MP:0011101,MP:0005381,MP:0005384,MP:0011100,MP:0005386,MP:0014085,MP:0001265,MP:0001516,MP:0001393,MP:0001394,MP:0011083,MP:0010768,MP:0005378,MP:0004263,MP:0004098,MP:0011110,MP:0003631,MP:0002183
87	MGI:1328307	
88	MGI:1098274	MP:0005389,MP:0005382,MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0005390,MP:0005375,MP:0005386,MP:0005367,MP:0005379,MP:0005397,MP:0005376,MP:0010771
89	MGI:3646229	
90	MGI:1915281	MP:0005382,MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0005388,MP:0005390,MP:0010768,MP:0005375,MP:0005379,MP:0005397,MP:0005376
91	MGI:1341819	MP:0005387,MP:0005384,MP:0005397
92	MGI:1890149	MP:0005369,MP:0010768
93	MGI:3030760	
94	MGI:1355275	MP:0005369,MP:0005378,MP:0005385
95	MGI:2446977	MP:0005389,MP:0010768,MP:0005384,MP:0005379
96	MGI:1202889	MP:0003631
97	MGI:3582052	MP:0005390,MP:0005389,MP:0005375,MP:0005397,MP:0005376,MP:0005387,MP:0005378
98	MGI:1339949	MP:0005386,MP:0005390,MP:0003631
99	MGI:3031393	
100	MGI:2442510	MP:0010768,MP:0005376
101	MGI:3651927	
102	MGI:3702087	MP:0005386,MP:0005367,MP:0005397,MP:0005376,MP:0005387,MP:0005378
103	MGI:108519	MP:0005389,MP:0005382,MP:0005370,MP:0005378,MP:0005385,MP:0005387,MP:0005388,MP:0005390,MP:0005391,MP:0005386,MP:0005367,MP:0005379,MP:0005397,MP:0005376,MP:0010771
104	MGI:93882	MP:0005386,MP:0005382,MP:0005378,MP:0010768,MP:0005397,MP:0005387,MP:0005381
105	MGI:1914208	MP:0005380,MP:0010768,MP:0005384
106	MGI:2180697	MP:0010768,MP:0005386,MP:0005387,MP:0005378
107	MGI:4439640	
108	MGI:97553	MP:0005387,MP:0005390,MP:0005376,MP:0005397
109	MGI:2444752	
110	MGI:2443864	
111	MGI:95851	MP:0005389,MP:0010771,MP:0005387,MP:0005388,MP:0005385,MP:0005384,MP:0010768,MP:0005390,MP:0005379,MP:0005397,MP:0005376,MP:0003631
112	MGI:1926233	MP:0005397
113	MGI:3645954	
114	MGI:1921529	
115	MGI:1914576	MP:0005375,MP:0005376,MP:0005378,MP:0005384
116	MGI:99842	MP:0005386,MP:0005397,MP:0005376,MP:0003631,MP:0005371
117	MGI:1351351	MP:0001186,MP:0000194,MP:0002986,MP:0003195,MP:0003197,MP:0003199,MP:0005381,MP:0005384,MP:0001566,MP:0005386,MP:0010092,MP:0005367,MP:0005397,MP:0002902,MP:0005390,MP:0010771,MP:0030129,MP:0002904,MP:0001265,MP:0005389,MP:0002905,MP:0002083,MP:0005387,MP:0005378,MP:0010768,MP:0000195,MP:0005369,MP:0005391,MP:0002075,MP:0000198,MP:0005379,MP:0005376,MP:0003631,MP:0001304
