	MGI	MP_became
0	MGI:2152878	{'nan'}
1	MGI:1917115	{'MP:0010768', 'MP:0005384', 'MP:0005367', 'MP:0005376', 'MP:0005370', 'MP:0005369', 'MP:0005386', 'MP:0005378', 'MP:0005397', 'MP:0005385'}
2	MGI:2449119	{'nan'}
3	MGI:2685279	{'nan'}
4	MGI:3512453	{'MP:0010768', 'MP:0005376', 'MP:0005386'}
5	MGI:2143261	{'MP:0005384', 'MP:0005387', 'MP:0002006', 'MP:0005381', 'MP:0005385'}
6	MGI:2443767	{'MP:0005378', 'MP:0005386', 'MP:0005389'}
7	MGI:1926144	{'MP:0005386'}
8	MGI:1915008	{'MP:0005387', 'MP:0005389', 'MP:0005367', 'MP:0005378', 'MP:0005379', 'MP:0005391', 'MP:0005397'}
9	MGI:3646333	{'nan'}
10	MGI:2685281	{'nan'}
11	MGI:3650257	{'nan'}
12	MGI:2685880	{'nan'}
13	MGI:3652194	{'nan'}
14	MGI:3650721	{'nan'}
15	MGI:2685282	{'nan'}
16	MGI:2685284	{'nan'}
17	MGI:1345167	{'MP:0003631', 'MP:0005391', 'MP:0005386'}
18	MGI:1914189	{'nan'}
19	MGI:1098687	{'MP:0010768', 'MP:0005371', 'MP:0003631', 'MP:0005376', 'MP:0005390', 'MP:0005386', 'MP:0005377', 'MP:0005391', 'MP:0005385'}
20	MGI:1913523	{'nan'}
21	MGI:107809	{'MP:0010768'}
22	MGI:1328365	{'MP:0003631', 'MP:0005379'}
23	MGI:1915545	{'nan'}
24	MGI:2181621	{'nan'}
25	MGI:2384560	{'MP:0010768', 'MP:0005384', 'MP:0003631', 'MP:0010771', 'MP:0005376', 'MP:0005369', 'MP:0005386', 'MP:0005378', 'MP:0005385'}
26	MGI:2681839	{'MP:0010768', 'MP:0005380', 'MP:0005387', 'MP:0005386', 'MP:0005378', 'MP:0005397', 'MP:0005385'}
27	MGI:1916934	{'nan'}
28	MGI:2442517	{'MP:0005376', 'MP:0005390', 'MP:0005391'}
29	MGI:1914868	{'MP:0010768', 'MP:0001186', 'MP:0005376', 'MP:0005386', 'MP:0005391'}
30	MGI:1353573	{'MP:0005378', 'MP:0005390', 'MP:0005387', 'MP:0005367'}
31	MGI:1929608	{'MP:0010768', 'MP:0005384', 'MP:0005380', 'MP:0005386', 'MP:0005378'}
32	MGI:1197518	{'MP:0003631'}
33	MGI:2443582	{'MP:0010768'}
34	MGI:99607	"{'MP:0010768', ""'MP:0002625'"", ""'MP:0011090'"", 'MP:0005384', 'MP:0005367', 'MP:0005376', ""'MP:0002743'"", 'MP:0005386', ""'MP:0001262'"", ""'MP:0002647'"", ""'MP:0030975'"", ""'MP:0000691'"", ""'MP:0011109'"", ""'MP:0006084'"", ""'MP:0005185'"", ""'MP:0001265'"", ""'MP:0001798'"", 'MP:0005380', ""'MP:0001923'"", ""'MP:0001712'"", 'MP:0005388', ""'MP:0031115'"", ""'MP:0001182'"", ""MP:0000639'"", ""'MP:0001914'"", ""'MP:0000703'"", ""'MP:0002784'"", ""'MP:0002118'"", ""'MP:0000183'"", ""'MP:0005464'"", ""'MP:0002646'"", 'MP:0005381', ""'MP:0000276'"", ""'MP:0001730'"", ""'MP:0003984'"", 'MP:0005387', ""'MP:0003179'"", ""'MP:0020519'"", 'MP:0005370', 'MP:0005378', ""'MP:0003631"", ""'MP:0005401'"", ""'MP:0001120'"", ""'MP:0002270'"", ""'MP:0001716'"", ""'MP:0005330'"", 'MP:0005385', ""'MP:0001175'"", ""'MP:0001926'"", ""'MP:0001954'"", ""'MP:0000642'"", 'MP:0005389', ""'MP:0005179'"", ""'MP:0000521'"", 'MP:0005369', ""'MP:0009080'"", 'MP:0005379', ""'MP:0005264'"", ""'MP:0011086'"", ""'MP:0000186'"", ""'MP:0001126'"", ""'MP:0005181'"", 'MP:0005397'}"
35	MGI:2676312	"{'MP:0010768', ""'MP:0001240'"", ""'MP:0011089'"", 'MP:0005384', ""'MP:0004780'"", 'MP:0010771', ""'MP:0001216'"", ""MP:0001429'"", 'MP:0005386', ""'MP:0009674'"", ""'MP:0001218'"", ""'MP:0001196'"", ""'MP:0010018'"", ""'MP:0001435'"", ""'MP:0003853'"", 'MP:0005377', ""'MP:0001201'"", ""'MP:0001177'"", ""'MP:0009599'"", ""'MP:0004200'"", ""'MP:0001212'"", 'MP:0005388', ""'MP:0001238'"", ""'MP:0001198'"", ""'MP:0011087'"", ""'MP:0009594'"", 'MP:0005382', ""'MP:0001242'"", ""'MP:0002118'"", ""'MP:0003193'"", ""'MP:0003982'"", ""'MP:0003773'"", ""'MP:0001191'"", ""'MP:0001230'"", ""'MP:0009431'"", ""'MP:0009597'"", ""'MP:0005376"", 'MP:0005378', ""'MP:0001179'"", ""'MP:0003427'"", ""'MP:0002270'"", ""'MP:0003453'"", 'MP:0005385', ""'MP:0002275'"", ""'MP:0002060'"", ""'MP:0001231'"", ""'MP:0001190'"", ""'MP:0002796'"", ""'MP:0001429'"", ""'MP:0010814'"", ""'MP:0001192'"", ""'MP:0009608'"", ""'MP:0003941'""}"
36	MGI:2388707	{'MP:0003631', 'MP:0005376', 'MP:0005384', 'MP:0005389'}
37	MGI:3625331	{'MP:0005376'}
38	MGI:99606	{'MP:0010768', 'MP:0005389', 'MP:0003631', 'MP:0005376', 'MP:0005386', 'MP:0005378'}
39	MGI:1351617	"{""'MP:0004782'"", 'MP:0010768', ""MP:0002118'"", ""'MP:0004780'"", ""'MP:0011163'"", 'MP:0005386', ""'MP:0001575'"", ""'MP:0010018'"", ""'MP:0001953'"", ""'MP:0001177'"", ""'MP:0010825'"", 'MP:0005388', ""'MP:0010817'"", ""'MP:0011087'"", ""'MP:0010897'"", ""'MP:0005202'"", ""'MP:0001176'"", ""'MP:0005376"", ""'MP:0010819'"", 'MP:0005385', ""'MP:0001954'"", ""'MP:0002275'"", ""'MP:0004781'"", ""'MP:0011143'"", ""'MP:0010813'"", ""'MP:0010909'"", ""'MP:0010814'""}"
40	MGI:109424	"{""'MP:0005201'"", 'MP:0003631', ""'MP:0008515'"", 'MP:0005376', 'MP:0005390', ""'MP:0003729'"", ""'MP:0001186"", ""'MP:0008584'"", 'MP:0005391', ""MP:0005201'"", ""'MP:0005253'"", ""'MP:0008450'"", 'MP:0005397', ""'MP:0011232'"", ""'MP:0005239'"", ""'MP:0003011'""}"
41	MGI:2386607	{'MP:0010768', 'MP:0005376', 'MP:0005370', 'MP:0005369', 'MP:0005386', 'MP:0005379', 'MP:0005391', 'MP:0005385'}
42	MGI:1923434	{'MP:0005376', 'MP:0005397'}
43	MGI:1351646	{'MP:0005376', 'MP:0005375', 'MP:0005386', 'MP:0005367'}
44	MGI:2386846	{'MP:0010768'}
45	MGI:1351668	{'MP:0005376'}
46	MGI:2386796	{'MP:0005386'}
47	MGI:97570	"{'MP:0010768', 'MP:0005376', ""'MP:0002497'"", ""'MP:0005037'"", 'MP:0005386', 'MP:0005377', ""'MP:0008500'"", ""'MP:0005150'"", ""'MP:0004842'"", ""'MP:0013803'"", ""'MP:0008501'"", 'MP:0005381', ""'MP:0002816'"", ""'MP:0002495'"", ""MP:0000511'"", 'MP:0005387', 'MP:0005378', ""'MP:0003631"", ""'MP:0002494'"", ""'MP:0003945'"", 'MP:0005385', ""'MP:0000491'"", ""'MP:0000488'"", ""'MP:0000512'"", 'MP:0005379', ""'MP:0002461'"", ""'MP:0008499'"", 'MP:0005397', ""'MP:0008502'"", ""'MP:0003304'""}"
48	MGI:97568	{'MP:0005376'}
49	MGI:1860508	{'MP:0010768', 'MP:0005384', 'MP:0005380', 'MP:0010771', 'MP:0005376', 'MP:0005370', 'MP:0005397', 'MP:0005385'}
50	MGI:1351619	{'MP:0010768', 'MP:0005388', 'MP:0005376', 'MP:0005370', 'MP:0005386', 'MP:0005378', 'MP:0005391'}
51	MGI:97569	"{'MP:0005384', ""'MP:0001654'"", ""'MP:0005343'"", ""'MP:0001569'"", 'MP:0005376', ""'MP:0009642'"", ""'MP:0000202'"", ""'MP:0000607'"", ""'MP:0003255'"", ""'MP:0000691'"", ""'MP:0004773'"", ""'MP:0002968'"", ""'MP:0003253'"", ""'MP:0020134'"", ""'MP:0003331'"", ""'MP:0001923'"", ""'MP:0004772'"", ""'MP:0005415'"", ""'MP:0003888'"", ""'MP:0003868'"", ""'MP:0003046'"", ""'MP:0006264'"", ""'MP:0000610'"", ""'MP:0000599'"", 'MP:0005381', ""'MP:0000203'"", 'MP:0005387', ""'MP:0003328'"", ""MP:0002138'"", 'MP:0005390', 'MP:0005370', ""'MP:0001570'"", ""'MP:0001860'"", 'MP:0005378', ""'MP:0002941'"", ""'MP:0001573'"", ""'MP:0001263'"", ""'MP:0002139'"", 'MP:0005385', ""'MP:0002928'"", ""'MP:0005344'"", ""'MP:0008991'"", 'MP:0005389', ""'MP:0003254'"", ""'MP:0008993'"", ""'MP:0000598'"", ""'MP:0003333'"", 'MP:0005379', ""'MP:0002830'"", ""'MP:0003256'"", 'MP:0005397', ""'MP:0002006""}"
52	MGI:1924956	{'MP:0005384', 'MP:0001186', 'MP:0003631', 'MP:0005376', 'MP:0005391'}
53	MGI:1921354	{'MP:0010768', 'MP:0005384', 'MP:0010771', 'MP:0005376', 'MP:0005397'}
54	MGI:109533	{'MP:0010768', 'MP:0005384', 'MP:0005380', 'MP:0005376', 'MP:0005370', 'MP:0005378', 'MP:0005385'}
55	MGI:1351667	{'MP:0005385', 'MP:0005378', 'MP:0005376', 'MP:0005369'}
56	MGI:1861729	{'MP:0003631', 'MP:0005379', 'MP:0005387', 'MP:0005386'}
57	MGI:102676	{'MP:0010768', 'MP:0005376', 'MP:0005387', 'MP:0005397'}
58	MGI:2386976	{'MP:0010768', 'MP:0005387', 'MP:0005376', 'MP:0005378', 'MP:0005379', 'MP:0005397'}
59	MGI:2441679	{'nan'}
60	MGI:1352447	{'MP:0005387', 'MP:0005367', 'MP:0005376', 'MP:0005370', 'MP:0005378', 'MP:0005397'}
61	MGI:1923658	{'MP:0005376', 'MP:0005386'}
62	MGI:2443111	{'MP:0010768', 'MP:0005387', 'MP:0005367', 'MP:0003631', 'MP:0005376', 'MP:0005386', 'MP:0005378', 'MP:0005379', 'MP:0005397', 'MP:0005381', 'MP:0005385'}
63	MGI:1351644	{'MP:0005376', 'MP:0005397', 'MP:0005387', 'MP:0005386'}
64	MGI:1351634	"{'MP:0005385', ""'MP:0006133'"", ""'MP:0003196'"", ""MP:0003195'"", 'MP:0010771', 'MP:0005376', ""'MP:0005553'"", ""'MP:0010234'"", 'MP:0005378', ""'MP:0000530'"", 'MP:0005391', ""'MP:0003197'"", ""'MP:0000186'"", 'MP:0005382', ""'MP:0005367"", ""'MP:0005239'"", ""'MP:0006188'""}"
65	MGI:1352629	"{""'MP:0005293'"", ""'MP:0005376"", 'MP:0005378', 'MP:0005379', ""MP:0000189'""}"
66	MGI:1352630	"{'MP:0010768', ""'MP:0000231'"", 'MP:0005384', ""'MP:0008770'"", ""'MP:0006047'"", ""'MP:0010575'"", 'MP:0005376', ""'MP:0000249'"", ""'MP:0000274'"", ""'MP:0003897'"", ""'MP:0006135'"", ""'MP:0004937'"", ""'MP:0002833'"", ""'MP:0005595'"", ""'MP:0011925'"", ""'MP:0011951'"", 'MP:0005387', ""'MP:0006144'"", ""'MP:0000278'"", ""'MP:0006143'"", 'MP:0005378', ""'MP:0003137'"", ""'MP:0003631"", ""'MP:0010468'"", 'MP:0005385', ""'MP:0009865'"", ""'MP:0008872'"", ""'MP:0003394'"", ""'MP:0010574'"", ""'MP:0002083'"", ""'MP:0002753'"", ""'MP:0003484'"", ""'MP:0001596'"", ""'MP:0020345'"", ""'MP:0001625'"", 'MP:0005369', ""'MP:0005590'"", ""'MP:0000230'"", ""MP:0002083'"", ""'MP:0031192'"", 'MP:0005397'}"
67	MGI:1349215	"{""MP:0002118'"", 'MP:0005376', 'MP:0005386', ""'MP:0005403'"", ""'MP:0005284'"", ""'MP:0000920'"", ""'MP:0003633'"", ""'MP:0001106'"", ""'MP:0002757'"", ""'MP:0002182'"", ""'MP:0003313'"", ""'MP:0003354'"", ""'MP:0000955'"", ""'MP:0002118'"", ""'MP:0001516'"", ""'MP:0008295'"", 'MP:0005387', ""'MP:0000136'"", ""'MP:0008294'"", ""'MP:0003631"", 'MP:0005389', ""'MP:0001405'"", ""'MP:0001921'"", 'MP:0005379', ""'MP:0008288'"", 'MP:0005391', ""'MP:0005281'"", 'MP:0005397', ""'MP:0005405'""}"
68	MGI:1349467	{'MP:0005387', 'MP:0003631', 'MP:0005376', 'MP:0005386', 'MP:0005397'}
69	MGI:1349216	"{'MP:0005384', ""MP:0000358'"", 'MP:0005376', 'MP:0005390', ""'MP:0009642'"", 'MP:0005375', 'MP:0005386', 'MP:0005378', ""'MP:0005370"", ""'MP:0004773'"", ""'MP:0000599'""}"
70	MGI:1349217	{'MP:0005386'}
71	MGI:1195458	{'MP:0010768', 'MP:0005387', 'MP:0005389', 'MP:0003631', 'MP:0005376', 'MP:0005379', 'MP:0005391', 'MP:0005397'}
72	MGI:1351658	{'MP:0010768'}
73	MGI:1351657	{'nan'}
74	MGI:1351657	{'nan'}
75	MGI:1351656	{'nan'}
76	MGI:107704	{'MP:0005384', 'MP:0005387', 'MP:0005388', 'MP:0005376', 'MP:0005370', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005397'}
77	MGI:1347061	"{'MP:0005384', 'MP:0005387', 'MP:0010771', 'MP:0005376', ""MP:0005344'"", 'MP:0005370', ""'MP:0005653'"", 'MP:0005391', 'MP:0005397', ""'MP:0005367"", ""'MP:0000341'"", 'MP:0005381', ""'MP:0005654'""}"
78	MGI:1351624	{'nan'}
79	MGI:1890594	{'MP:0005376'}
80	MGI:1351659	{'MP:0010768', 'MP:0005384', 'MP:0005387', 'MP:0005389', 'MP:0005376', 'MP:0005370', 'MP:0005369', 'MP:0005386', 'MP:0005378', 'MP:0005397', 'MP:0005385'}
81	MGI:1914720	"{""'MP:0010078'"", 'MP:0005387', 'MP:0005388', 'MP:0005389', ""'MP:0003983'"", 'MP:0005376', ""'MP:0005179'"", 'MP:0005370', 'MP:0005386', 'MP:0005378', ""'MP:0001552'"", 'MP:0005391', ""'MP:0005369"", ""MP:0002139'"", 'MP:0005397', 'MP:0005385'}"
82	MGI:1931013	{'nan'}
83	MGI:2442422	{'MP:0005376', 'MP:0005387', 'MP:0005397', 'MP:0005389'}
84	MGI:1916008	{'MP:0005367', 'MP:0003631', 'MP:0005389', 'MP:0005376', 'MP:0005386', 'MP:0005375', 'MP:0005378', 'MP:0005391', 'MP:0005381'}
85	MGI:1923442	"{""'MP:0001489'"", ""'MP:0000747'"", ""'MP:0008918'"", 'MP:0005387', ""'MP:0001399'"", 'MP:0005376', ""'MP:0001405'"", 'MP:0005369', 'MP:0005386', ""'MP:0006325'"", ""'MP:0011966'"", ""'MP:0003631"", ""'MP:0006359'"", 'MP:0005377', ""MP:0001393'"", 'MP:0005397', ""'MP:0011579'"", ""'MP:0004777'""}"
86	MGI:2685650	{'MP:0005376'}
87	MGI:1916154	{'MP:0005397', 'MP:0005391', 'MP:0005387', 'MP:0005386'}
88	MGI:1915894	{'MP:0005376'}
89	MGI:1923741	{'nan'}
90	MGI:1914727	{'MP:0005391', 'MP:0005386'}
91	MGI:99476	{'MP:0010768', 'MP:0005387', 'MP:0005389', 'MP:0005376', 'MP:0005375', 'MP:0005378', 'MP:0005397'}
92	MGI:3607711	{'nan'}
93	MGI:106388	{'MP:0005376'}
94	MGI:1917816	{'MP:0005391', 'MP:0005386'}
95	MGI:1917428	{'MP:0005387', 'MP:0005367', 'MP:0010771', 'MP:0005370', 'MP:0005378', 'MP:0005391', 'MP:0005397', 'MP:0005385'}
96	MGI:1915468	{'nan'}
97	MGI:1914344	{'MP:0005384', 'MP:0005389', 'MP:0005376', 'MP:0005379', 'MP:0005385'}
98	MGI:2147183	{'nan'}
99	MGI:1915938	{'MP:0005376', 'MP:0005386'}
100	MGI:1914719	"{'MP:0010768', ""MP:0002118'"", ""'MP:0008033'"", ""'MP:0009703'"", 'MP:0005384', 'MP:0010771', 'MP:0005376', ""'MP:0009674'"", ""'MP:0002441'"", ""'MP:0009611'"", ""'MP:0002644'"", ""'MP:0001547'"", ""'MP:0005317'"", ""'MP:0005369"", 'MP:0005382', ""'MP:0001242'"", ""'MP:0005282'"", 'MP:0005387', 'MP:0005390', 'MP:0005370', ""'MP:0002058'"", 'MP:0005378', ""'MP:0002628'"", ""'MP:0001258'"", ""'MP:0002656'"", ""'MP:0009355'"", 'MP:0005385', ""'MP:0005560'"", ""'MP:0005501'"", 'MP:0005389', ""'MP:0002796'"", 'MP:0005379', 'MP:0005397', ""'MP:0003941'"", ""'MP:0011582'""}"
101	MGI:1913332	{'MP:0005384', 'MP:0005376', 'MP:0005370', 'MP:0005369', 'MP:0005375', 'MP:0005386', 'MP:0005378', 'MP:0005379'}
102	MGI:1918946	{'MP:0010768', 'MP:0010771', 'MP:0005376', 'MP:0005386', 'MP:0005375', 'MP:0005378'}
103	MGI:104913	{'MP:0010768', 'MP:0005380', 'MP:0003631', 'MP:0005376', 'MP:0005369', 'MP:0005378', 'MP:0005385'}
104	MGI:106913	{'MP:0001186', 'MP:0005367', 'MP:0003631', 'MP:0005389', 'MP:0005376', 'MP:0005386', 'MP:0005379', 'MP:0005391'}
105	MGI:1913860	{'nan'}
106	MGI:2444583	{'MP:0010768', 'MP:0005384', 'MP:0005376', 'MP:0005369', 'MP:0005386', 'MP:0005385'}
107	MGI:2677850	{'MP:0005385', 'MP:0005390', 'MP:0005391', 'MP:0005369'}
108	MGI:87859	{'MP:0010768', 'MP:0005384', 'MP:0005387', 'MP:0005388', 'MP:0003631', 'MP:0005376', 'MP:0005390', 'MP:0005370', 'MP:0005369', 'MP:0005378', 'MP:0005379', 'MP:0005391', 'MP:0005382', 'MP:0002006', 'MP:0005397', 'MP:0005381', 'MP:0005385'}
109	MGI:87860	{'MP:0003631', 'MP:0005378', 'MP:0005386', 'MP:0005389'}
110	MGI:1194500	{'nan'}
111	MGI:2385758	{'MP:0005386'}
112	MGI:2442582	{'MP:0005397', 'MP:0005391', 'MP:0005387', 'MP:0005386'}
113	MGI:2135738	{'MP:0010771', 'MP:0005379', 'MP:0005389'}
114	MGI:107771	{'nan'}
115	MGI:2444891	{'MP:0005376', 'MP:0005385'}
116	MGI:1920362	{'nan'}
117	MGI:1917931	{'MP:0010768', 'MP:0005384', 'MP:0005388', 'MP:0005376', 'MP:0002006'}
118	MGI:1926116	{'nan'}
119	MGI:1353636	{'nan'}
120	MGI:1933148	{'MP:0005387', 'MP:0010771', 'MP:0005376', 'MP:0005378', 'MP:0005397', 'MP:0005385'}
121	MGI:2139365	{'MP:0010768', 'MP:0005387', 'MP:0005370', 'MP:0005386', 'MP:0005397'}
122	MGI:1921257	{'nan'}
123	MGI:2148491	{'nan'}
124	MGI:3605455	{'nan'}
125	MGI:1098623	{'nan'}
126	MGI:108451	{'MP:0010768', 'MP:0005380', 'MP:0005387', 'MP:0005376', 'MP:0005370', 'MP:0005378', 'MP:0005397'}
127	MGI:2140940	{'MP:0005384', 'MP:0010771', 'MP:0005376', 'MP:0005370', 'MP:0005369', 'MP:0005375', 'MP:0005386', 'MP:0005378', 'MP:0005385'}
128	MGI:1919235	{'MP:0005397', 'MP:0005387'}
129	MGI:2443320	{'MP:0005376'}
130	MGI:2143169	{'MP:0005377', 'MP:0005385', 'MP:0005386'}
131	MGI:1914198	{'MP:0005384', 'MP:0005367', 'MP:0005376', 'MP:0005370', 'MP:0005375'}
132	MGI:1914272	{'MP:0010768', 'MP:0005384', 'MP:0005376', 'MP:0005369', 'MP:0005386', 'MP:0005385'}
133	MGI:87866	"{'MP:0010768', ""'MP:0005283'"", 'MP:0005376', ""'MP:0003979'"", ""'MP:0000266'"", ""'MP:0011101'"", ""'MP:0004773'"", ""'MP:0000189'"", ""'MP:0005367"", ""'MP:0031115'"", ""'MP:0001935'"", ""'MP:0005584'"", ""'MP:0002118'"", ""'MP:0001554'"", ""'MP:0008570'"", ""'MP:0031116'"", ""'MP:0011019'"", 'MP:0005370', ""'MP:0002628'"", 'MP:0005385', ""'MP:0003141'"", 'MP:0005389', ""MP:0002083'"", ""'MP:0005281'"", ""'MP:0030613'""}"
134	MGI:87867	"{'MP:0010768', 'MP:0010771', 'MP:0005376', ""'MP:0003979'"", ""'MP:0009642'"", 'MP:0005386', ""'MP:0009862'"", ""'MP:0031115'"", ""'MP:0005369"", ""'MP:0031116'"", 'MP:0005370', ""MP:0000278'"", ""'MP:0005330'"", 'MP:0005385', ""'MP:0005560'"", ""'MP:0003141'"", ""'MP:0011049'"", ""'MP:0011086'"", ""'MP:0004566'""}"
135	MGI:87868	"{'MP:0005384', ""'MP:0001432'"", ""'MP:0000759'"", ""'MP:0003978'"", ""'MP:0010953'"", ""'MP:0030615'"", 'MP:0005376', ""'MP:0011019'"", 'MP:0005369', 'MP:0005370', 'MP:0005386', ""'MP:0002628'"", ""MP:0001423'"", ""'MP:0001556'"", ""'MP:0030612'"", ""'MP:0030656'"", ""'MP:0000189'"", ""'MP:0005367""}"
136	MGI:1914135	{'MP:0005391', 'MP:0005386'}
137	MGI:895149	"{'MP:0010768', ""MP:0002118'"", 'MP:0005384', ""'MP:0005293'"", 'MP:0005376', ""'MP:0003979'"", ""'MP:0009763'"", 'MP:0005386', ""'MP:0000266'"", ""'MP:0000189'"", ""'MP:0002899'"", ""'MP:0002971'"", ""'MP:0031115'"", ""'MP:0000003'"", 'MP:0005375', ""'MP:0003084'"", ""'MP:0005584'"", ""'MP:0005666'"", ""'MP:0000278'"", 'MP:0005370', ""'MP:0002020'"", 'MP:0005378', ""'MP:0002628'"", ""'MP:0005333'"", ""'MP:0001636'"", ""'MP:0005330'"", ""'MP:0010954'"", 'MP:0005385', ""'MP:0005332'"", ""'MP:0005439'"", ""'MP:0001260'"", ""'MP:0002083'"", 'MP:0005369', ""'MP:0011049'"", ""'MP:0004566'"", ""'MP:0002006""}"
