tissue,count_gene,out
Adipose - Subcutaneous,2,<Q1
Adipose - Visceral (Omentum),3,<Q1
Adrenal Gland,5,<Q1
Artery - Aorta,5,<Q1
Artery - Coronary,2,<Q1
Artery - Tibial,4,<Q1
Bladder,1,<Q1
Brain - Amygdala,0,<Q1
Brain - Anterior cingulate cortex (BA24),1,<Q1
Brain - Caudate (basal ganglia),1,<Q1
Brain - Cerebellar Hemisphere,26,<Q1
Brain - Cerebellum,24,<Q1
Brain - Cortex,2,<Q1
Brain - Frontal Cortex (BA9),4,<Q1
Brain - Hippocampus,0,<Q1
Brain - Hypothalamus,4,<Q1
Brain - Nucleus accumbens (basal ganglia),2,<Q1
Brain - Putamen (basal ganglia),1,<Q1
Brain - Spinal cord (cervical c-1),2,<Q1
Brain - Substantia nigra,0,<Q1
Breast - Mammary Tissue,2,<Q1
Cells - Cultured fibroblasts,32,<Q1
Cells - EBV-transformed lymphocytes,57,<Q1
Cervix - Ectocervix,4,<Q1
Cervix - Endocervix,7,<Q1
Colon - Sigmoid,3,<Q1
Colon - Transverse,4,<Q1
Esophagus - Gastroesophageal Junction,0,<Q1
Esophagus - Mucosa,6,<Q1
Esophagus - Muscularis,2,<Q1
Fallopian Tube,6,<Q1
Heart - Atrial Appendage,7,<Q1
Heart - Left Ventricle,7,<Q1
Kidney - Cortex,5,<Q1
Kidney - Medulla,7,<Q1
Liver,6,<Q1
Lung,13,<Q1
Minor Salivary Gland,2,<Q1
Muscle - Skeletal,14,<Q1
Nerve - Tibial,12,<Q1
Ovary,12,<Q1
Pancreas,3,<Q1
Pituitary,18,<Q1
Prostate,2,<Q1
Skin - Not Sun Exposed (Suprapubic),10,<Q1
Skin - Sun Exposed (Lower leg),11,<Q1
Small Intestine - Terminal Ileum,10,<Q1
Spleen,22,<Q1
Stomach,2,<Q1
Testis,49,<Q1
Thyroid,13,<Q1
Uterus,7,<Q1
Vagina,4,<Q1
Whole Blood,16,<Q1
Adipose - Subcutaneous,583,Q1-max
Adipose - Visceral (Omentum),567,Q1-max
Adrenal Gland,516,Q1-max
Artery - Aorta,580,Q1-max
Artery - Coronary,589,Q1-max
Artery - Tibial,572,Q1-max
Bladder,618,Q1-max
Brain - Amygdala,325,Q1-max
Brain - Anterior cingulate cortex (BA24),363,Q1-max
Brain - Caudate (basal ganglia),379,Q1-max
Brain - Cerebellar Hemisphere,532,Q1-max
Brain - Cerebellum,533,Q1-max
Brain - Cortex,432,Q1-max
Brain - Frontal Cortex (BA9),442,Q1-max
Brain - Hippocampus,333,Q1-max
Brain - Hypothalamus,392,Q1-max
Brain - Nucleus accumbens (basal ganglia),386,Q1-max
Brain - Putamen (basal ganglia),321,Q1-max
Brain - Spinal cord (cervical c-1),432,Q1-max
Brain - Substantia nigra,353,Q1-max
Breast - Mammary Tissue,607,Q1-max
Cells - Cultured fibroblasts,590,Q1-max
Cells - EBV-transformed lymphocytes,527,Q1-max
Cervix - Ectocervix,636,Q1-max
Cervix - Endocervix,652,Q1-max
Colon - Sigmoid,574,Q1-max
Colon - Transverse,538,Q1-max
Esophagus - Gastroesophageal Junction,572,Q1-max
Esophagus - Mucosa,533,Q1-max
Esophagus - Muscularis,563,Q1-max
Fallopian Tube,641,Q1-max
Heart - Atrial Appendage,377,Q1-max
Heart - Left Ventricle,287,Q1-max
Kidney - Cortex,397,Q1-max
Kidney - Medulla,486,Q1-max
Liver,342,Q1-max
Lung,622,Q1-max
Minor Salivary Gland,555,Q1-max
Muscle - Skeletal,356,Q1-max
Nerve - Tibial,642,Q1-max
Ovary,613,Q1-max
Pancreas,305,Q1-max
Pituitary,582,Q1-max
Prostate,602,Q1-max
Skin - Not Sun Exposed (Suprapubic),567,Q1-max
Skin - Sun Exposed (Lower leg),581,Q1-max
Small Intestine - Terminal Ileum,566,Q1-max
Spleen,568,Q1-max
Stomach,496,Q1-max
Testis,576,Q1-max
Thyroid,641,Q1-max
Uterus,649,Q1-max
Vagina,620,Q1-max
Whole Blood,287,Q1-max
