entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
1,117586.0,,,3.63601,11.845755056603771,5.0
29974,69865.0,,2.0,0.0123516,1.0404772822641508,1.0
2,232345.0,,,217.267,370.3996379245282,51.0
127550,215493.0,,,0.121453,0.1650324547169811,0.0
53947,239559.0,0.0,1.0,24.8694,27.162943018867924,35.0
51146,333424.0,,1.0,0.135369,0.2651571981132076,0.0
8086,223921.0,1.0,1.0,43.9422,45.587141509433955,53.0
65985,78894.0,,0.0,11.9055,14.687577547169811,31.0
13,67758.0,,1.0,0.0831032,8.52934080943396,4.0
344752,639634.0,,,0.0122507,1.3127855760377354,2.0
126767,230883.0,,,0.0,0.020248478867924528,0.0
51166,23923.0,,1.0,7.0087,7.225931618867925,13.0
79719,66939.0,1.0,,19.1483,18.90352471698113,48.0
22848,269774.0,,2.0,5.72294,6.884999056603771,6.0
28971,66273.0,,,10.1376,9.978159245283017,27.0
14,227290.0,,0.0,105.446,101.10270000000001,53.0
15,11298.0,,1.0,0.258093,0.41912996603773583,0.0
25980,68295.0,,,26.1188,24.751519811320755,45.0
441376,239435.0,,,0.415232,2.27503291509434,3.0
16,234734.0,1.0,2.0,,,
57505,224805.0,1.0,1.0,9.65952,10.744812830188678,26.0
132949,231326.0,,1.0,7.21474,7.564981698113207,15.0
60496,67618.0,,1.0,22.4781,27.259481132075482,53.0
10157,30956.0,2.0,1.0,11.7962,19.356347735849056,32.0
26574,56321.0,,1.0,33.9301,34.159318867924526,53.0
9625,11302.0,,0.0,8.28318,33.136245886792445,22.0
18,268860.0,1.0,0.0,7.35489,26.512793867924525,22.0
19,11303.0,1.0,2.0,11.2591,12.156808528301887,27.0
26154,74591.0,2.0,2.0,0.027641,1.479354356981132,2.0
154664,268379.0,,1.0,0.0206083,0.1590308558490566,0.0
650655,381072.0,,0.0,0.286475,0.9520154792452828,1.0
20,11305.0,1.0,1.0,22.8044,58.37287611320756,48.0
21,27410.0,1.0,1.0,11.1826,18.870832264150934,29.0
24,11304.0,1.0,1.0,0.153362,0.3292458867924528,0.0
23461,217265.0,1.0,2.0,10.2206,12.778533584905661,27.0
