entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,oe_lof_upper,pLI,mis_z
1,117586.0,,,1.208,4.9917e-09,-0.08613
29974,69865.0,,2.0,0.88,5.9218e-10,0.99035
2,232345.0,,,0.544,4.5229e-11,1.8713
127550,215493.0,,,1.764,1.2823e-10,0.04645
53947,239559.0,0.0,1.0,1.654,7.6668e-06,-0.18737
51146,333424.0,,1.0,0.739,0.16537,0.23504
8086,223921.0,1.0,1.0,0.988,2.4356e-13,-0.36262
65985,78894.0,,0.0,1.088,9.1275e-17,0.20029
13,67758.0,,1.0,0.944,0.0029108,0.36435
344752,639634.0,,,1.652,1.0604e-08,0.20938
126767,230883.0,,,1.701,0.011889,-0.34433
51166,23923.0,,1.0,0.508,0.14641,2.3466
79719,66939.0,1.0,,1.037,3.8664e-07,-0.87738
22848,269774.0,,2.0,0.129,1.0,2.612
28971,66273.0,,,1.838,2.2702e-06,-0.12731
14,227290.0,,0.0,0.411,0.76172,1.7512
15,11298.0,,1.0,1.227,0.002969,0.090903
25980,68295.0,,,1.348,8.3057e-06,0.85528
441376,239435.0,,,1.103,0.3258,-0.3091
16,234734.0,1.0,2.0,,,
57505,224805.0,1.0,1.0,0.835,4.9777e-17,0.072469
132949,231326.0,,1.0,0.828,1.6629e-13,0.255
60496,67618.0,,1.0,0.717,0.033866,0.46164
10157,30956.0,2.0,1.0,0.809,2.3101e-12,0.88222
26574,56321.0,,1.0,1.065,2.5958e-12,0.30226
9625,11302.0,,0.0,0.403,0.20634,0.53875
18,268860.0,1.0,0.0,0.567,0.0063216,0.57296
19,11303.0,1.0,2.0,0.486,1.4525e-13,1.7544
26154,74591.0,2.0,2.0,0.478,2.922e-15,1.6348
154664,268379.0,,1.0,1.035,8.7753e-114,-1.5217
650655,381072.0,,0.0,,,
20,11305.0,1.0,1.0,0.169,1.0,4.9116
21,27410.0,1.0,1.0,0.501,6.6226e-08,0.32326
24,11304.0,1.0,1.0,0.91,5.3499e-48,-0.65813
23461,217265.0,1.0,2.0,0.838,4.7803e-27,0.37404
23460,76184.0,,1.0,0.864,5.1099e-27,-0.49147
10347,27403.0,1.0,1.0,1.067,2.1111e-55,-1.471
10350,217262.0,,0.0,1.07,9.4911e-48,0.751
23456,56199.0,,2.0,0.937,2.9084e-08,1.3514
8647,27413.0,2.0,1.0,0.638,1.5612e-12,1.1073
5244,18670.0,1.0,2.0,0.508,2.2138e-07,1.9749
340273,77706.0,,1.0,1.127,1.5071999999999999e-37,-1.9827
10058,74104.0,1.0,1.0,0.977,8.599900000000001e-19,-0.13886
22,11306.0,1.0,1.0,0.109,0.99994,2.9037
11194,74610.0,,1.0,1.081,1.9164e-15,0.2987
23457,56325.0,,1.0,0.653,0.00025164,1.0126
4363,17250.0,0.0,1.0,0.397,0.0011727,1.7734
89845,224814.0,,1.0,0.941,1.2887e-26,0.65471
94160,244562.0,,,1.274,4.5659e-49,-0.092057
1244,12780.0,1.0,1.0,1.158,5.2025e-47,-0.99478
8714,76408.0,,1.0,0.896,1.2092e-26,0.62968
10257,239273.0,,2.0,0.492,1.0674e-07,1.7016
10057,27416.0,,1.0,0.387,0.0041518,3.6041
368,27421.0,2.0,1.0,1.026,5.6167e-35,-1.0878
6833,20927.0,2.0,1.0,0.765,7.9571e-24,1.914
10060,20928.0,2.0,2.0,0.482,9.3524e-09,4.9694
215,11666.0,2.0,2.0,0.15,0.99896,1.8659
225,26874.0,,1.0,0.718,4.7079e-06,2.3537
5825,19299.0,1.0,1.0,0.435,0.0078364,2.5441
5826,19300.0,2.0,0.0,0.898,1.3364e-12,0.1693
6059,24015.0,,2.0,0.314,0.9738,4.1012
23,224742.0,,0.0,0.612,1.2823e-09,2.5127
55324,27406.0,,,0.573,1.5114e-05,0.65355
9619,11307.0,,2.0,0.461,0.11182,2.135
64137,192663.0,,1.0,0.819,3.8043e-07,2.2691
64240,27409.0,1.0,2.0,1.385,3.0809999999999998e-21,-0.74377
64241,67470.0,1.0,2.0,1.365,2.3838e-20,-2.4872
84696,57742.0,,,1.913,3.3799000000000003e-25,-0.94849
55347,213012.0,,1.0,1.061,1.2865e-05,0.23316
83451,68758.0,,2.0,0.941,0.0029581,0.56684
26090,76192.0,1.0,1.0,0.763,1.9476e-05,0.19453
145447,100504285.0,,0.0,1.582,3.7965e-15,-0.1653
84945,68904.0,,1.0,0.406,0.8946,1.4728
25864,68644.0,,0.0,1.395,6.4241e-06,0.32559
84836,76491.0,,,1.695,0.00014378,0.85202
116236,67477.0,,1.0,1.489,3.5459e-08,-0.10357
7920,193742.0,1.0,1.0,0.384,0.47336,2.4782
140701,241850.0,,,1.19,7.4371e-05,0.50876
81926,216169.0,,0.0,0.803,0.018945,1.4983
51104,226016.0,,1.0,0.65,0.25442,2.619
58489,70178.0,,2.0,0.302,0.95762,3.1394
80167,269423.0,,,,,
11057,54608.0,,1.0,0.431,0.68151,2.2256
171586,106861.0,,,1.181,1.6717e-09,0.56823
63874,105501.0,,1.0,1.073,2.2197e-08,0.70149
51099,67469.0,1.0,2.0,0.982,6.4201e-07,0.47432
57406,66082.0,,2.0,0.984,2.2313e-05,0.76259
79575,64296.0,,1.0,0.31,0.97027,1.7991
10006,11308.0,,2.0,0.418,0.63911,2.0949
10152,329165.0,,2.0,0.46,0.43122,2.2471
51225,66610.0,,,1.04,5.0089e-05,0.39596
25890,320712.0,,1.0,0.558,1.0074e-08,0.82947
54942,230234.0,,1.0,,,
25,11350.0,2.0,2.0,0.176,0.99998,2.5581
27,11352.0,,2.0,0.58,3.6365e-07,1.6853
3983,226251.0,,,0.326,0.9301,1.6153
84448,231148.0,,0.0,0.465,0.0045858,0.16633
22885,319713.0,,1.0,0.59,1.0625e-07,0.69581
28,80908.0,,1.0,,,
29,109934.0,,1.0,0.361,0.62738,3.8894
137735,223513.0,,1.0,1.172,6.1508e-06,-0.15154
58527,73112.0,,,1.371,0.24171,0.40665
84142,70681.0,,1.0,,,
23172,109359.0,,,,,
29777,30946.0,,,1.015,0.020296,0.17351
80325,80283.0,,1.0,0.756,2.1295e-05,0.34463
25841,99382.0,,1.0,0.464,0.0046627,1.2261
121551,74007.0,,,,,
10449,52538.0,,,1.306,3.7065e-10,-0.27145
31,107476.0,1.0,2.0,0.216,1.0,7.2382
32,100705.0,,2.0,0.857,7.6499e-47,1.5694
84129,102632.0,,1.0,0.883,5.1833e-15,0.50836
27034,66948.0,1.0,1.0,1.27,5.6389e-14,0.22235
28976,229211.0,1.0,1.0,0.814,4.5256e-08,-0.17875
33,11363.0,,1.0,1.162,1.743e-12,0.85565
34,11364.0,1.0,1.0,1.153,2.0548e-12,0.54287
35,11409.0,1.0,2.0,0.95,2.8026e-06,0.58444
36,66885.0,1.0,1.0,1.172,2.6565e-11,-0.069716
37,11370.0,2.0,2.0,1.05,4.2385e-15,-0.20979
176,11595.0,1.0,2.0,0.183,1.0,0.20716
9744,216859.0,,0.0,0.423,0.067617,2.2959
23527,78618.0,,0.0,0.324,0.92325,3.2192
