	gene_human	entrez_id_human	gene_mouse	MGI	MP
0	A1BG	1	A1bg	MGI:2152878	
1	A1CF	29974	A1cf	MGI:1917115	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005397, MP:0010768
2	A2M	2	A2m	MGI:2449119	
3	A3GALT2	127550	A3galt2	MGI:2685279	
4	A4GALT	53947	A4galt	MGI:3512453	MP:0005376, MP:0005386, MP:0010768
5	A4GNT	51146	A4gnt	MGI:2143261	MP:0002006, MP:0005381, MP:0005384, MP:0005385, MP:0005387
6	AAAS	8086	Aaas	MGI:2443767	MP:0005378, MP:0005386, MP:0005389
7	AACS	65985	Aacs	MGI:1926144	MP:0005386
8	AADAC	13	Aadac	MGI:1915008	MP:0005367, MP:0005378, MP:0005379, MP:0005387, MP:0005389, MP:0005391, MP:0005397
9	AADACL2	344752	Aadacl2	MGI:3646333	
10	AADACL3	126767	Aadacl3	MGI:2685281	
11	AADACL4	343066	Aadacl4	MGI:3650257	
12	AADACL4	343066	Aadacl4fm1	MGI:2685880	
13	AADACL4	343066	Aadacl4fm2	MGI:3652194	
14	AADACL4	343066	AAdacl4fm3	MGI:3650721	
15	AADACL4	343066	Aadacl4fm4	MGI:2685282	
16	AADACL4	343066	Aadacl4fm5	MGI:2685284	
17	AADAT	51166	Aadat	MGI:1345167	MP:0003631, MP:0005386, MP:0005391
18	AAGAB	79719	Aagab	MGI:1914189	
19	AAK1	22848	Aak1	MGI:1098687	MP:0003631, MP:0005371, MP:0005376, MP:0005377, MP:0005385, MP:0005386, MP:0005390, MP:0005391, MP:0010768
20	AAMDC	28971	Aamdc	MGI:1913523	
21	AAMP	14	Aamp	MGI:107809	MP:0010768
22	AANAT	15	Aanat	MGI:1328365	MP:0003631, MP:0005379
23	AAR2	25980	Aar2	MGI:1915545	
24	AARD	441376	Aard	MGI:2181621	
25	AARS1	16	Aars	MGI:2384560	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010768, MP:0010771
26	AARS2	57505	Aars2	MGI:2681839	MP:0005378, MP:0005380, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768
27	AARSD1	80755	Aarsd1	MGI:1916934	
28	AASDH	132949	Aasdh	MGI:2442517	MP:0005376, MP:0005390, MP:0005391
29	AASDHPPT	60496	Aasdhppt	MGI:1914868	MP:0001186, MP:0005376, MP:0005386, MP:0005391, MP:0010768
30	AASS	10157	Aass	MGI:1353573	MP:0005367, MP:0005378, MP:0005387, MP:0005390
31	AATF	26574	Aatf	MGI:1929608	MP:0005378, MP:0005380, MP:0005384, MP:0005386, MP:0010768
32	AATK	9625	Aatk	MGI:1197518	MP:0003631
33	ABAT	18	Abat	MGI:2443582	MP:0010768
34	ABCA1	19	Abca1	MGI:99607	MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005397, MP:0010768
35	ABCA12	26154	Abca12	MGI:2676312	MP:0005376, MP:0005377, MP:0005378, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005388, MP:0010768, MP:0010771
36	ABCA13	154664	Abca13	MGI:2388707	MP:0003631, MP:0005376, MP:0005384, MP:0005389
37	ABCA17P	650655	Abca17	MGI:3625331	MP:0005376
38	ABCA2	20	Abca2	MGI:99606	MP:0003631, MP:0005376, MP:0005378, MP:0005386, MP:0005389, MP:0010768
39	ABCA3	21	Abca3	MGI:1351617	MP:0005376, MP:0005385, MP:0005386, MP:0005388, MP:0010768
40	ABCA4	24	Abca4	MGI:109424	MP:0001186, MP:0003631, MP:0005376, MP:0005390, MP:0005391, MP:0005397
41	ABCA5	23461	Abca5	MGI:2386607	MP:0005369, MP:0005370, MP:0005376, MP:0005379, MP:0005385, MP:0005386, MP:0005391, MP:0010768
42	ABCA6	23460	Abca6	MGI:1923434	MP:0005376, MP:0005397
43	ABCA7	10347	Abca7	MGI:1351646	MP:0005367, MP:0005375, MP:0005376, MP:0005386
44	ABCA8	10351	Abca8a	MGI:2386846	MP:0010768
45	ABCA8	10351	Abca8b	MGI:1351668	MP:0005376
46	ABCA9	10350	Abca9	MGI:2386796	MP:0005386
47	ABCB1	5243	Abcb1a	MGI:97570	MP:0003631, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768
48	ABCB1	5243	Abcb1b	MGI:97568	MP:0005376
49	ABCB10	23456	Abcb10	MGI:1860508	MP:0005370, MP:0005376, MP:0005380, MP:0005384, MP:0005385, MP:0005397, MP:0010768, MP:0010771
50	ABCB11	8647	Abcb11	MGI:1351619	MP:0005370, MP:0005376, MP:0005378, MP:0005386, MP:0005388, MP:0005391, MP:0010768
51	ABCB4	5244	Abcb4	MGI:97569	MP:0002006, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005397
52	ABCB5	340273	Abcb5	MGI:1924956	MP:0001186, MP:0003631, MP:0005376, MP:0005384, MP:0005391
53	ABCB6	10058	Abcb6	MGI:1921354	MP:0005376, MP:0005384, MP:0005397, MP:0010768, MP:0010771
54	ABCB7	22	Abcb7	MGI:109533	MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0010768
55	ABCB8	11194	Abcb8	MGI:1351667	MP:0005369, MP:0005376, MP:0005378, MP:0005385
56	ABCB9	23457	Abcb9	MGI:1861729	MP:0003631, MP:0005379, MP:0005386, MP:0005387
57	ABCC1	4363	Abcc1	MGI:102676	MP:0005376, MP:0005387, MP:0005397, MP:0010768
58	ABCC10	89845	Abcc10	MGI:2386976	MP:0005376, MP:0005378, MP:0005379, MP:0005387, MP:0005397, MP:0010768
59	ABCC12	94160	Abcc12	MGI:2441679	
60	ABCC2	1244	Abcc2	MGI:1352447	MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005387, MP:0005397
61	ABCC3	8714	Abcc3	MGI:1923658	MP:0005376, MP:0005386
62	ABCC4	10257	Abcc4	MGI:2443111	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768
63	ABCC5	10057	Abcc5	MGI:1351644	MP:0005376, MP:0005386, MP:0005387, MP:0005397
64	ABCC6	368	Abcc6	MGI:1351634	MP:0005367, MP:0005376, MP:0005378, MP:0005382, MP:0005385, MP:0005391, MP:0010771
65	ABCC8	6833	Abcc8	MGI:1352629	MP:0005376, MP:0005378, MP:0005379
66	ABCC9	10060	Abcc9	MGI:1352630	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005387, MP:0005397, MP:0010768
67	ABCD1	215	Abcd1	MGI:1349215	MP:0003631, MP:0005376, MP:0005379, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397
68	ABCD2	225	Abcd2	MGI:1349467	MP:0003631, MP:0005376, MP:0005386, MP:0005387, MP:0005397
69	ABCD3	5825	Abcd3	MGI:1349216	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005390
70	ABCD4	5826	Abcd4	MGI:1349217	MP:0005386
71	ABCE1	6059	Abce1	MGI:1195458	MP:0003631, MP:0005376, MP:0005379, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768
72	ABCF1	23	Abcf1	MGI:1351658	MP:0010768
73	ABCF2	10061	Abcf2	MGI:1351657	
74	ABCF2-H2BK1	114483834	Abcf2	MGI:1351657	
75	ABCF3	55324	Abcf3	MGI:1351656	
76	ABCG1	9619	Abcg1	MGI:107704	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005388, MP:0005397
77	ABCG2	9429	Abcg2	MGI:1347061	MP:0005367, MP:0005370, MP:0005376, MP:0005381, MP:0005384, MP:0005387, MP:0005391, MP:0005397, MP:0010771
78	ABCG2	9429	Abcg3	MGI:1351624	
79	ABCG4	64137	Abcg4	MGI:1890594	MP:0005376
80	ABCG5	64240	Abcg5	MGI:1351659	MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768
81	ABCG8	64241	Abcg8	MGI:1914720	MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397
82	ABHD1	84696	Abhd1	MGI:1931013	
83	ABHD10	55347	Abhd10	MGI:2442422	MP:0005376, MP:0005387, MP:0005389, MP:0005397
84	ABHD11	83451	Abhd11	MGI:1916008	MP:0003631, MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005386, MP:0005389, MP:0005391
85	ABHD12	26090	Abhd12	MGI:1923442	MP:0003631, MP:0005369, MP:0005376, MP:0005377, MP:0005386, MP:0005387, MP:0005397
86	ABHD12B	145447	Abhd12b	MGI:2685650	MP:0005376
87	ABHD13	84945	Abhd13	MGI:1916154	MP:0005386, MP:0005387, MP:0005391, MP:0005397
