gene_human,gene_mouse,entrez_id_human,MGI,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO
A1BG,A1bg,1,MGI:2152878,117586.0,,
A1CF,A1cf,29974,MGI:1917115,69865.0,,2.0
A2M,A2m,2,MGI:2449119,232345.0,,
A3GALT2,A3galt2,127550,MGI:2685279,215493.0,,
A4GALT,A4galt,53947,MGI:3512453,239559.0,0.0,1.0
A4GNT,A4gnt,51146,MGI:2143261,333424.0,,1.0
AAAS,Aaas,8086,MGI:2443767,223921.0,1.0,1.0
AACS,Aacs,65985,MGI:1926144,78894.0,,0.0
AADAC,Aadac,13,MGI:1915008,67758.0,,1.0
AADACL2,Aadacl2,344752,MGI:3646333,639634.0,,
AADACL3,Aadacl3,126767,MGI:2685281,230883.0,,
AADAT,Aadat,51166,MGI:1345167,23923.0,,1.0
AAGAB,Aagab,79719,MGI:1914189,66939.0,1.0,
AAK1,Aak1,22848,MGI:1098687,269774.0,,2.0
AAMDC,Aamdc,28971,MGI:1913523,66273.0,,
AAMP,Aamp,14,MGI:107809,227290.0,,0.0
AANAT,Aanat,15,MGI:1328365,11298.0,,1.0
AAR2,Aar2,25980,MGI:1915545,68295.0,,
AARD,Aard,441376,MGI:2181621,239435.0,,
AARS1,Aars,16,MGI:2384560,234734.0,1.0,2.0
AARS2,Aars2,57505,MGI:2681839,224805.0,1.0,1.0
AASDH,Aasdh,132949,MGI:2442517,231326.0,,1.0
AASDHPPT,Aasdhppt,60496,MGI:1914868,67618.0,,1.0
AASS,Aass,10157,MGI:1353573,30956.0,2.0,1.0
AATF,Aatf,26574,MGI:1929608,56321.0,,1.0
AATK,Aatk,9625,MGI:1197518,11302.0,,0.0
ABAT,Abat,18,MGI:2443582,268860.0,1.0,0.0
ABCA1,Abca1,19,MGI:99607,11303.0,1.0,2.0
ABCA12,Abca12,26154,MGI:2676312,74591.0,2.0,2.0
ABCA13,Abca13,154664,MGI:2388707,268379.0,,1.0
ABCA17P,Abca17,650655,MGI:3625331,381072.0,,0.0
ABCA2,Abca2,20,MGI:99606,11305.0,1.0,1.0
ABCA3,Abca3,21,MGI:1351617,27410.0,1.0,1.0
ABCA4,Abca4,24,MGI:109424,11304.0,1.0,1.0
ABCA5,Abca5,23461,MGI:2386607,217265.0,1.0,2.0
ABCA6,Abca6,23460,MGI:1923434,76184.0,,1.0
ABCA7,Abca7,10347,MGI:1351646,27403.0,1.0,1.0
ABCA9,Abca9,10350,MGI:2386796,217262.0,,0.0
ABCB10,Abcb10,23456,MGI:1860508,56199.0,,2.0
ABCB11,Abcb11,8647,MGI:1351619,27413.0,2.0,1.0
ABCB4,Abcb4,5244,MGI:97569,18670.0,1.0,2.0
ABCB5,Abcb5,340273,MGI:1924956,77706.0,,1.0
ABCB6,Abcb6,10058,MGI:1921354,74104.0,1.0,1.0
ABCB7,Abcb7,22,MGI:109533,11306.0,1.0,1.0
ABCB8,Abcb8,11194,MGI:1351667,74610.0,,1.0
ABCB9,Abcb9,23457,MGI:1861729,56325.0,,1.0
ABCC1,Abcc1,4363,MGI:102676,17250.0,0.0,1.0
ABCC10,Abcc10,89845,MGI:2386976,224814.0,,1.0
ABCC12,Abcc12,94160,MGI:2441679,244562.0,,
ABCC2,Abcc2,1244,MGI:1352447,12780.0,1.0,1.0
ABCC3,Abcc3,8714,MGI:1923658,76408.0,,1.0
ABCC4,Abcc4,10257,MGI:2443111,239273.0,,2.0
ABCC5,Abcc5,10057,MGI:1351644,27416.0,,1.0
ABCC6,Abcc6,368,MGI:1351634,27421.0,2.0,1.0
ABCC8,Abcc8,6833,MGI:1352629,20927.0,2.0,1.0
ABCC9,Abcc9,10060,MGI:1352630,20928.0,2.0,2.0
ABCD1,Abcd1,215,MGI:1349215,11666.0,2.0,2.0
ABCD2,Abcd2,225,MGI:1349467,26874.0,,1.0
ABCD3,Abcd3,5825,MGI:1349216,19299.0,1.0,1.0
ABCD4,Abcd4,5826,MGI:1349217,19300.0,2.0,0.0
ABCE1,Abce1,6059,MGI:1195458,24015.0,,2.0
ABCF1,Abcf1,23,MGI:1351658,224742.0,,0.0
ABCF3,Abcf3,55324,MGI:1351656,27406.0,,
ABCG1,Abcg1,9619,MGI:107704,11307.0,,2.0
ABCG4,Abcg4,64137,MGI:1890594,192663.0,,1.0
ABCG5,Abcg5,64240,MGI:1351659,27409.0,1.0,2.0
ABCG8,Abcg8,64241,MGI:1914720,67470.0,1.0,2.0
ABHD1,Abhd1,84696,MGI:1931013,57742.0,,
ABHD10,Abhd10,55347,MGI:2442422,213012.0,,1.0
ABHD11,Abhd11,83451,MGI:1916008,68758.0,,2.0
ABHD12,Abhd12,26090,MGI:1923442,76192.0,1.0,1.0
ABHD12B,Abhd12b,145447,MGI:2685650,100504285.0,,0.0
ABHD13,Abhd13,84945,MGI:1916154,68904.0,,1.0
ABHD14A,Abhd14a,25864,MGI:1915894,68644.0,,0.0
ABHD14B,Abhd14b,84836,MGI:1923741,76491.0,,
ABHD15,Abhd15,116236,MGI:1914727,67477.0,,1.0
ABHD16A,Abhd16a,7920,MGI:99476,193742.0,1.0,1.0
ABHD16B,Abhd16b,140701,MGI:3607711,241850.0,,
ABHD17A,Abhd17a,81926,MGI:106388,216169.0,,0.0
ABHD17B,Abhd17b,51104,MGI:1917816,226016.0,,1.0
ABHD17C,Abhd17c,58489,MGI:1917428,70178.0,,2.0
ABHD18,Abhd18,80167,MGI:1915468,269423.0,,
ABHD2,Abhd2,11057,MGI:1914344,54608.0,,1.0
ABHD3,Abhd3,171586,MGI:2147183,106861.0,,
ABHD4,Abhd4,63874,MGI:1915938,105501.0,,1.0
ABHD5,Abhd5,51099,MGI:1914719,67469.0,1.0,2.0
ABHD6,Abhd6,57406,MGI:1913332,66082.0,,2.0
ABHD8,Abhd8,79575,MGI:1918946,64296.0,,1.0
ABI1,Abi1,10006,MGI:104913,11308.0,,2.0
ABI2,Abi2,10152,MGI:106913,329165.0,,2.0
ABI3,Abi3,51225,MGI:1913860,66610.0,,
ABI3BP,Abi3bp,25890,MGI:2444583,320712.0,,1.0
ABITRAM,Abitram,54942,MGI:2677850,230234.0,,1.0
ABL1,Abl1,25,MGI:87859,11350.0,2.0,2.0
ABL2,Abl2,27,MGI:87860,11352.0,,2.0
ABLIM1,Ablim1,3983,MGI:1194500,226251.0,,
ABLIM2,Ablim2,84448,MGI:2385758,231148.0,,0.0
ABLIM3,Ablim3,22885,MGI:2442582,319713.0,,1.0
ABO,Abo,28,MGI:2135738,80908.0,,1.0
ABR,Abr,29,MGI:107771,109934.0,,1.0
ABRA,Abra,137735,MGI:2444891,223513.0,,1.0
ABRACL,Abracl,58527,MGI:1920362,73112.0,,
ABRAXAS1,Abraxas1,84142,MGI:1917931,70681.0,,1.0
ABRAXAS2,Abraxas2,23172,MGI:1926116,109359.0,,
ABT1,Abt1,29777,MGI:1353636,30946.0,,
ABTB1,Abtb1,80325,MGI:1933148,80283.0,,1.0
ABTB2,Abtb2,25841,MGI:2139365,99382.0,,1.0
ABTB3,Abtb3,121551,MGI:1921257,74007.0,,
ACAA2,Acaa2,10449,MGI:1098623,52538.0,,
ACACA,Acaca,31,MGI:108451,107476.0,1.0,2.0
ACACB,Acacb,32,MGI:2140940,100705.0,,2.0
ACAD11,Acad11,84129,MGI:2143169,102632.0,,1.0
ACAD8,Acad8,27034,MGI:1914198,66948.0,1.0,1.0
ACAD9,Acad9,28976,MGI:1914272,229211.0,1.0,1.0
ACADL,Acadl,33,MGI:87866,11363.0,,1.0
ACADM,Acadm,34,MGI:87867,11364.0,1.0,1.0
ACADS,Acads,35,MGI:87868,11409.0,1.0,2.0
ACADSB,Acadsb,36,MGI:1914135,66885.0,1.0,1.0
ACADVL,Acadvl,37,MGI:895149,11370.0,2.0,2.0
ACAN,Acan,176,MGI:99602,11595.0,1.0,2.0
ACAP1,Acap1,9744,MGI:2388270,216859.0,,0.0
ACAP2,Acap2,23527,MGI:1925868,78618.0,,0.0
ACAP3,Acap3,116983,MGI:2153589,140500.0,,0.0
ACAT1,Acat1,38,MGI:87870,110446.0,1.0,
ACBD3,Acbd3,64746,MGI:2181074,170760.0,,1.0
ACBD4,Acbd4,79777,MGI:1914381,67131.0,,
ACBD5,Acbd5,91452,MGI:1921409,74159.0,1.0,2.0
ACBD6,Acbd6,84320,MGI:1919732,72482.0,,
ACBD7,Acbd7,414149,MGI:1925495,78245.0,,
ACCS,Accs,84680,MGI:1919717,329470.0,,
ACCSL,Accsl,390110,MGI:3584519,381411.0,,
ACD,Acd,65057,MGI:87873,497652.0,1.0,2.0
ACE,Ace,1636,MGI:87874,11421.0,1.0,2.0
ACE2,Ace2,59272,MGI:1917258,70008.0,,2.0
ACE3P,Ace3,100129123,MGI:3644400,217246.0,,
ACER1,Acer1,125981,MGI:2181962,171168.0,,2.0
ACER2,Acer2,340485,MGI:1920932,230379.0,,1.0
ACER3,Acer3,55331,MGI:1913440,66190.0,1.0,1.0
ACHE,Ache,43,MGI:87876,11423.0,,2.0
ACIN1,Acin1,22985,MGI:1891824,56215.0,,
ACKR1,Ackr1,2532,MGI:1097689,13349.0,,1.0
ACKR2,Ackr2,1238,MGI:1891697,59289.0,,1.0
ACKR3,Ackr3,57007,MGI:109562,12778.0,0.0,2.0
ACKR4,Ackr4,51554,MGI:2181676,252837.0,,1.0
ACLY,Acly,47,MGI:103251,104112.0,,0.0
ACMSD,Acmsd,130013,MGI:2386323,266645.0,,1.0
ACO1,Aco1,48,MGI:87879,11428.0,,1.0
ACO2,Aco2,50,MGI:87880,11429.0,1.0,0.0
ACOD1,Acod1,730249,MGI:103206,16365.0,,1.0
ACOT11,Acot11,26027,MGI:1913736,329910.0,,1.0
ACOT12,Acot12,134526,MGI:1921406,74156.0,,1.0
ACOT13,Acot13,55856,MGI:1914084,66834.0,,1.0
ACOT4,Acot4,122970,MGI:2159621,171282.0,,
ACOT6,Acot6,641372,MGI:1921287,217700.0,,
ACOT7,Acot7,11332,MGI:1917275,70025.0,,1.0
ACOT8,Acot8,10005,MGI:2158201,170789.0,,
ACOX1,Acox1,51,MGI:1330812,11430.0,1.0,2.0
ACOX2,Acox2,8309,MGI:1934852,93732.0,1.0,1.0
ACOX3,Acox3,8310,MGI:1933156,80911.0,,0.0
ACOXL,Acoxl,55289,MGI:1921371,74121.0,,2.0
ACP1,Acp1,52,MGI:87881,11431.0,,1.0
ACP2,Acp2,53,MGI:87882,11432.0,,2.0
ACP3,Acpp,55,MGI:1928480,56318.0,,1.0
ACP4,Acp4,93650,MGI:3644563,100503991.0,1.0,1.0
ACP5,Acp5,54,MGI:87883,11433.0,2.0,1.0
ACP6,Acp6,51205,MGI:1931010,66659.0,,1.0
ACP7,Acp7,390928,MGI:2142121,101744.0,,
ACR,Acr,49,MGI:87884,11434.0,,1.0
ACRBP,Acrbp,84519,MGI:1859515,54137.0,,1.0
ACRV1,Acrv1,56,MGI:104590,11451.0,,
ACSBG1,Acsbg1,23205,MGI:2385656,94180.0,,1.0
ACSBG2,Acsbg2,81616,MGI:3587728,328845.0,,1.0
ACSF2,Acsf2,80221,MGI:2388287,264895.0,,1.0
ACSF3,Acsf3,197322,MGI:2182591,257633.0,1.0,
ACSL1,Acsl1,2180,MGI:102797,14081.0,,1.0
ACSL3,Acsl3,2181,MGI:1921455,74205.0,,1.0
ACSL4,Acsl4,2182,MGI:1354713,50790.0,1.0,2.0
ACSL5,Acsl5,51703,MGI:1919129,433256.0,,2.0
ACSL6,Acsl6,23305,MGI:894291,216739.0,,1.0
ACSM1,Acsm1,116285,MGI:2152200,117147.0,,
ACSM3,Acsm3,6296,MGI:99538,20216.0,,
ACSM4,Acsm4,341392,MGI:2681844,233801.0,,1.0
ACSM5,Acsm5,54988,MGI:2444086,272428.0,,
ACSS1,Acss1,84532,MGI:1915988,68738.0,,1.0
ACSS2,Acss2,55902,MGI:1890410,60525.0,,
